425,Reston,401,FALSE,703-437-7575,1820 Wiehle Avenue,Reston,VA,20190,400,38.95085,-77.33545,
426,Edsall Road,408,FALSE,703-256-2236,5316 Carolina Place,Springfield,VA,22151,400,38.80516,-77.17126,
427,West Springfield,408,FALSE,703-451-0453,6140 Rolling Road,Springfield,VA,22152,400,38.78357,-77.23779,
428,Seven Corners,404,FALSE,703-532-1451,2949 Sleepy Hollow Road,Falls Church,VA,22044,400,38.87048,-77.15684,
429,Tysons Corner,402,FALSE,703-893-0140,1560 Spring Hill Road,McLean,VA,22102,400,38.92935,-77.23940,
430,Merrifield,404,FALSE,703-573-5321,8739 Lee Highway,Fairfax,VA,22031,400,38.87238,-77.24794,
431,Fox Mill,403,FALSE,703-860-2680,2610 Reston Parkway,Herndon,VA,20171,400,38.92615,-77.37356,
432,Fairview,407,FALSE,703-250-8900,5600 Burke Centre Parkway,Fairfax Station,VA,22039,400,38.79883,-77.32551,
433,North Fairfax City,443,TRUE,703-385-7941,10101 Fairfax Blvd,Fairfax,VA,22030,430,38.86164027,-77.29361555,
434,Oakton,407,FALSE,703-591-0273,10511 Rosehaven Street,Fairfax,VA,22030,400,38.87618,-77.30959,
435,Pohick,405,FALSE,703-451-5500,7801 Maritime Lane,Springfield,VA,22153,400,38.74633,-77.25243,
436,Frying Pan,403,FALSE,703-793-0043,2660 West Ox Road,Herndon,VA,20171,400,38.93626,-77.41404,
437,Kingstowne,406,FALSE,703-719-9294,7936 Telegraph Road,Alexandria,VA,22315,400,38.74234,-77.15889,
438,West Centreville,403,TRUE,703-802-2806,6001 ODay Drive,Centreville,VA,20120,400,38.84379,-77.45357,
439,North Point,401,FALSE,703-433-1418,1117 Reston Avenue,Herndon,VA,20170,400,38.99789,-77.34241,
440,Fairfax Center,407,FALSE,703-322-4500,4621 Legato Road,Fairfax,VA,22030,400,38.84817,-77.36490,
441,Crosspointe,405,FALSE,703-493-8990,9610 Hampton Road,Fairfax Station,VA,22039,400,38.71997,-77.27862,
442,Wolftrap,401,FALSE,703-757-7910,1315 Beulah Rd,Vienna,VA,22182,400,38.95713,-77.27504,
444,Scotts Run,402,FALSE,703-277-2661,1775 Old Meadow Lane,McLean,VA,22102,400,38.91936,-77.21531,
501,Manassas,581,TRUE,703-368-6211,9322 Centreville Road,Manassas,VA,20110,520,38.75294019,-77.46902683,
502,Occoquan,502,TRUE,703-792-5002,1306 F St,Woodbridge,VA,22191,500,38.66344114,-77.25560211,
503,Triangle,503,TRUE,703-792-5003,18321 Jefferson Davis Hwy,Triangle,VA,22172,500,38.55345935,-77.33240264,
504,Gainesville,501,FALSE,703-792-5004,14450 John Marshall Hwy,Gainesville,VA,20155,500,38.80414691,-77.61861323,
505,Nokesville,504,TRUE,703-792-5005,12826 Marsteller Dr,Nokesville,VA,20182,500,38.70083517,-77.57686183,
506,Mid-County,504,FALSE,703-792-5006,13712 Dumfries Rd,Manassas,VA,20112,500,38.6556108,-77.44240474,
507,Lake Jackson,504,TRUE,703-792-5007,11310 Coles Dr,Manassas,VA,20112,500,38.70714613,-77.45289194,
508,Yorkshire,501,TRUE,703-792-5008,8277 Patton Ln,Manassas,VA,20111,500,38.79436131,-77.44961455,
509,Manassas Park,589,FALSE,703-335-8845,9080 Masassas Dr,Manassas Park,VA,20111,509,38.77075433,-77.44640353,
510,Dime House,503,TRUE,703-792-5010,14975 Catalpa Ct,Dale City,VA,22193,500,38.62920125,-77.31539457,
511,Stone House,501,TRUE,703-792-5011,7814 Garner Dr,Manassas,VA,20109,500,38.78672707,-77.50804826,
512,Woodbridge,503,TRUE,703-792-5012,2170 Montgomery Ave,Woodbridge,VA,22191,500,38.63584558,-77.2761582,
513,Midtown,502,TRUE,703-792-5013,13511 Hillendale Dr,Dale City,VA,22193,500,38.65706819,-77.34156548,
514,Lake Ridge,502,TRUE,703-792-5014,12400 Hedges Run Dr,Woodbridge,VA,22192,500,38.68793481,-77.31370554,
515,Evergreen,501,FALSE,703-792-5015,3510 James Madison Hwy,Haymarket,VA,20169,500,38.88087433,-77.63432265,
516,Buckhall,504,TRUE,703-792-5016,7190 Yates Ford Rd,Manassas,VA,20111,500,38.73177728,-77.41859595,
517,Montclair,502,TRUE,703-792-5017,15219 Holleyside Dr,Montclair,VA,22025,500,38.62583525,-77.34744179,
518,Princedale,502,TRUE,703-792-5018,5849 Dale Blvd,Dale City,VA,22194,500,38.6662423,-77.38204259,
520,Parkway Express,503,FALSE,703-792-5020,3171 Prince William Pkwy E,Dale City,VA,22195,500,38.64781282,-77.30662347,
521,Old Town Manassas,581,TRUE,703-361-2030,10306 Dumfries Road,Manassas,VA,20110,520,38.73111571,-77.47388205,
522,Groveton,501,FALSE,703-792-5022,7500 Century Park Drive,Manassas,VA,20109,500,38.79355709,-77.54114034,
523,River Oaks,503,FALSE,703-792-5023,16530 River Ridge Boulevard,Woodbridge,VA,22191,500,38.58662431,-77.30464626,
524,Gainesville,501,FALSE,703-792-5024,5901 Antioch Rd,Haymarket,VA,20169,500,38.83140646,-77.6632843,
525,Bristow,504,TRUE,703-792-5025,9401 Devlins Grove Pl,Bristow,VA,20136,500,38.75322285,-77.57304185,
526,Parkway,502,FALSE,703-792-5026,5026 Davis Ford Rd,Woodbridge,VA,22192,500,38.68480591,-77.3598522,
601,Leesburg,624,TRUE,703-777-1343,215 West Loudoun Street,Leesburg,VA,20178,600,39.11507637,-77.56920058,
602,Purcellville,602,TRUE,571-258-3902,500 N Maple Avenue,Purcellville,VA,20134,600,39.14381454,-77.69709338,
603,Middleburg,603,FALSE,571-258-3903,910 W Washington St,Middleburg,VA,20117,600,38.96809144,-77.74665284,
604,Round Hill,602,TRUE,540-338-7982,4 Main Street,Round Hill,VA,20141,600,39.13336247,-77.76889617,
