E415,9,415,400,FALSE
E416,9,416,400,FALSE
E417,9,417,400,FALSE
E417B,9,417,400,TRUE
E418,9,418,400,FALSE
E419,9,419,400,FALSE
E419B,9,419,400,TRUE
E420,9,420,400,FALSE
E421,9,421,400,FALSE
E421B,9,421,400,TRUE
E422,9,422,400,FALSE
E422B,9,422,400,TRUE
E423,9,423,400,FALSE
E424,9,424,400,FALSE
E425,9,425,400,FALSE
E426,9,426,400,FALSE
E427,9,427,400,FALSE
E428,9,428,400,FALSE
E429,9,429,400,FALSE
E430,9,430,400,FALSE
E431,9,431,400,FALSE
E432,9,432,400,FALSE
E434,9,434,400,FALSE
E435,9,435,400,FALSE
E436,9,436,400,FALSE
E437,9,437,400,FALSE
E438,9,438,400,FALSE
E439,9,439,400,FALSE
E440,9,440,400,FALSE
E441,9,441,400,FALSE
E442,9,442,400,FALSE
E444,9,444,400,FALSE
E501,9,501,520,FALSE
E601,9,601,600,FALSE
E501B,9,501,520,TRUE
E601B,9,601,600,TRUE
E501C,9,501,520,TRUE
E502,9,502,500,FALSE
E502B,9,502,500,TRUE
E503,9,503,500,FALSE
E503B,9,503,500,TRUE
E504,9,504,500,FALSE
E504B,9,504,500,TRUE
E505,9,505,500,FALSE
E505B,9,505,500,TRUE
E506,9,506,500,FALSE
E506B,9,506,500,TRUE
E507,9,507,500,FALSE
E507B,9,507,500,TRUE
E508,9,508,500,FALSE
E508B,9,508,500,TRUE
E509,9,509,509,FALSE
E509B,9,509,509,TRUE
E510,9,510,500,FALSE
E510B,9,510,500,TRUE
E511,9,511,500,FALSE
E511B,9,511,500,TRUE
E512,9,512,500,FALSE
E512B,9,512,500,TRUE
E513,9,513,500,FALSE
E514,9,514,500,FALSE
E514B,9,514,500,TRUE
E515,9,515,500,FALSE
E516,9,516,500,FALSE
E516B,9,516,500,TRUE
E517,9,517,500,FALSE
E517B,9,517,500,TRUE
E518,9,518,500,FALSE
E518B,9,518,500,TRUE
E520,9,520,500,FALSE
E520B,9,520,500,TRUE
E521,9,521,520,FALSE
