M432,2017,Horton,International DuraStar 4300
M434,2018,Horton,International DuraStar 4300
M435,2017,Horton,International DuraStar 4300
M436,2017,Horton,International DuraStar 4300
M437,2014,Medic Master,Freightliner M2
M438,2015,Horton,International DuraStar 4300
M439,2013,Horton,International DuraStar 4300
M440,2013,Horton,International DuraStar 4300
M441,2018,Horton,International DuraStar 4300
M442,2018,Horton,International DuraStar 4300
M444,2020,Horton,International DuraStar 4300
MCU415,2004,Mickey,GMC 6500
MCU435,2007,Hackney,International 4400
MCU442,2009,Hackney,International 4400
MCP430,2005,Pierce,Enforcer
MCP438,2005,Pierce,Enforcer
RHAB413,2009,Pierce,Mack Granite Chassis
R411,2020,Pierce,Velocity Walk-In Rescue
R414,2021,Pierce,Velocity Walk-In Rescue
R418,2021,Pierce,Velocity Walk-In Rescue
R419,2015,Pierce,Velocity Walk-In Rescue
R421,2014,Pierce,Velocity Walk-In Rescue
R426,2018,Pierce,Velocity Walk-In Rescue
R439,2015,Pierce,Velocity Walk-In Rescue
R444,2018,Pierce,Velocity Walk-In Rescue
SAF403,2016,Ford,F-350
SAF402,2013,Ford,F-350
SAF401,2017,Ford,F-350
SHU431,2004,Mickey,GMC 6500
SHU437,2004,Mickey,GMC 6500
TK412,2015,Pierce,Mack Granite
TK416,2017,Pierce,Dryside
TK420,2017,Pierce,Dryside
TK439,2016,Pierce,Mack Granite
TK441,2017,Pierce,Dryside
TK442,2015,Pierce,Dryside
TRS414,2012,Brown Quality Truck Bodies,Freightliner M2 112
TRS418,2013,Brown Quality Truck Bodies,Freightliner M2 112
TRS421,2012,Brown Quality Truck Bodies,Freightliner M2 112
TRS439,2012,Brown Quality Truck Bodies,Freightliner M2 112
T401,2017,Pierce,Velocity Aerial
T405,2014,Pierce,Velocity Aerial
T408,2014,Pierce,Velocity Aerial
T410,2015,Pierce,Velocity Aerial
T411,2009,Pierce,Velocity Aerial
T422,2005,Pierce,Dash Aerial
T424,2013,Pierce,Velocity Aerial
T425,2016,Pierce,Velocity Aerial
T429,2015,Pierce,Velocity Aerial
T430,2017,Pierce,Velocity Aerial
T436,2018,Pierce,Velocity Aerial
T438,2013,Pierce,Velocity Aerial
T440,2016,Pierce,Velocity Aerial
T441,2019,Pierce,Velocity Aerial
UT401,2008,Ford,F-250
UT402,2007,Ford,F-350
UT405,1998,GMC,Suburban
UT412,2017,Jeep,Wrangler
UT413,2017,Ford,F-250
UT417,2007,Chevrolet,Suburban
UT421,2009,Ford,F-350
UT422,1998,Ford,F-350
VC405,2008,GMC,Yukon
VC414,2012,Ford,F-250
VC417,2014,Chevrolet,Tahoe
VC422,2006,Ford,F-350
